Biznameclick,Biznameclick_link,Reviewcount,Business,Categorylisttext,Secondary 1,Secondary 2,Phonenumber
Irassae,https://www.yelp.com/biz/irassae-huntington-beach,219,$$,Japanese- Sushi Bars,8841 Adams Ave,Huntington Beach,(714) 965-1904
Hambone’s Bar & Grill,https://www.yelp.com/biz/hambones-bar-and-grill-huntington-beach,269,$$,Barbeque,10056 Adams Ave,Huntington Beach,(714) 968-1261
Blast 825 Pizza,https://www.yelp.com/biz/blast-825-pizza-huntington-beach-3,135,$,Pizza- Desserts- Salad,18541 Beach Blvd,Huntington Beach,(714) 841-1210
Thai Fix,https://www.yelp.com/biz/thai-fix-huntington-beach-2,133,$$,Thai,8935 Atlanta Ave,Huntington Beach,(714) 960-1008
Pile It On Pizza,https://www.yelp.com/biz/pile-it-on-pizza-huntington-beach,205,$,Salad- Pizza,7821 Edinger Ave,Huntington Beach,(714) 901-0770
Big Chopsticks,https://www.yelp.com/biz/big-chopsticks-huntington-beach,269,$$,Chinese,19092 Beach Blvd,Huntington Beach,(714) 475-0204
Johnny’s Saloon,https://www.yelp.com/biz/johnnys-saloon-huntington-beach,444,$,Dive Bars- Pizza- Music Venues,17428 Beach Blvd,Huntington Beach,(714) 848-0676
Kung Pao Bowl,https://www.yelp.com/biz/kung-pao-bowl-huntington-beach,320,$$,Chinese- Seafood,6840 Edinger Ave,Huntington Beach,(714) 842-7262
Quang Trung Restaurant,https://www.yelp.com/biz/quang-trung-restaurant-huntington-beach,120,$,Vietnamese,16931 Magnolia St,Huntington Beach,(714) 594-6460
Sealegs Wine Bar,https://www.yelp.com/biz/sealegs-wine-bar-huntington-beach-5,59,$$,Wine Bars- Tapas/Small Plates- Beer Bar,21022 Beach Blvd,Huntington Beach,(714) 536-5700
Orange Grill,https://www.yelp.com/biz/orange-grill-huntington-beach,37,$,Japanese,5492 McFadden Ave,Huntington Beach,(714) 893-1122
Cafe Cup,https://www.yelp.com/biz/cafe-cup-huntington-beach,876,$,Breakfast & Brunch- Cafes,5930 Warner Ave,Huntington Beach,(714) 840-8991
Carlitos Diner,https://www.yelp.com/biz/carlitoss-diner-huntington-beach-2,281,$,Diners- Mexican- Breakfast & Brunch,7451 Warner Ave,Huntington Beach,(714) 841-9966
Massimo’s Pizza,https://www.yelp.com/biz/massimos-pizza-huntington-beach,146,$,Pizza- Italian- Sandwiches,22311 Brookhurst St,Huntington Beach,(714) 964-1888
Don Ramon’s Mexican Restaurant,https://www.yelp.com/biz/don-ramons-mexican-restaurant-huntington-beach,244,$$,Mexican,16961 Goldenwest St,Huntington Beach,(714) 847-4767
Pho Tastee,https://www.yelp.com/biz/pho-tastee-huntington-beach,263,$,Vietnamese,19092 Beach Blvd,Huntington Beach,(714) 963-1818
La Choza Restaurant,https://www.yelp.com/biz/la-choza-restaurant-huntington-beach,425,$$,Mexican,7402 Edinger Ave,Huntington Beach,(714) 842-7888
Sit Stay Cafe,https://www.yelp.com/biz/sit-stay-cafe-huntington-beach-2,166,$,Cafes- Coffee & Tea,328 11th St,Huntington Beach,(714) 960-0009
Mother’s Market & Kitchen,https://www.yelp.com/biz/mothers-market-and-kitchen-huntington-beach,358,$$,Vegetarian- Juice Bars & Smoothies- Grocery,19770 Beach Blvd,Huntington Beach,(714) 963-6667
George’s Grill,https://www.yelp.com/biz/georges-grill-huntington-beach-3,150,$,Mexican,300 Pacific Coast Hwy,Huntington Beach,(714) 960-0004
Caffe Gazelle,https://www.yelp.com/biz/caffe-gazelle-huntington-beach,108,$$,Italian,16041 Bolsa Chica,Huntington Beach,(714) 846-2694
Pete’s Sunset Grille,https://www.yelp.com/biz/petes-sunset-grille-huntington-beach,83,$$,American (Traditional)- Bars,21500 Pacific Coast Hwy,Huntington Beach,(714) 845-4775
Fiesta Grill 2,https://www.yelp.com/biz/fiesta-grill-2-huntington-beach,180,$,Mexican- Tex-Mex,19484 Beach Blvd,Huntington Beach,(714) 968-0777
In-N-Out Burger,https://www.yelp.com/biz/in-n-out-burger-huntington-beach,353,$,Burgers- Fast Food,18062 Beach Blvd,Huntington Beach,(800) 786-1000
Pizza Lounge,https://www.yelp.com/biz/pizza-lounge-huntington-beach,462,$$,Pizza- Italian- American (New),301 Main St,Huntington Beach,(714) 374-0200
The Cheesecake Factory,https://www.yelp.com/biz/the-cheesecake-factory-huntington-beach,828,$$,American (New)- Desserts- American (Traditional),7871 Edinger Avenue,Huntington Beach,(714) 889-1500
Fiesta Grill & Catering,https://www.yelp.com/biz/fiesta-grill-and-catering-huntington-beach,340,$,Mexican- Desserts,418 17th St,Huntington Beach,(714) 969-7689
Eat At Joe’s,https://www.yelp.com/biz/eat-at-joes-huntington-beach,164,$,American (New),7120 Edinger Ave,Huntington Beach,(714) 842-9440
The Loft,https://www.yelp.com/biz/the-loft-huntington-beach,199,$,Hawaiian,7862 Warner Ave,Huntington Beach,(714) 842-2911
Deli-Licious,https://www.yelp.com/biz/deli-licious-huntington-beach,612,$,Delis- Sandwiches,16582 Gothard St,Huntington Beach,(714) 841-2435
The Coffee Tale,https://www.yelp.com/biz/the-coffee-tale-huntington-beach-2,309,$,Coffee & Tea- Cafes,7561 Center Ave,Huntington Beach,(714) 875-8253
El Chavito Taco Truck,https://www.yelp.com/biz/el-chavito-taco-truck-huntington-beach,342,$,Mexican- Food Trucks,Huntington Beach- CA 92647,Huntington Beach,(714) 597-3925
John’s Philly Grille,https://www.yelp.com/biz/johns-philly-grille-huntington-beach-2,339,$,Sandwiches,16061 Goldenwest St,Huntington Beach,(714) 841-1513
Basil Thai Cuisine,https://www.yelp.com/biz/basil-thai-cuisine-huntington-beach,214,$$,Thai,9921 Hamilton Ave,Huntington Beach,(714) 968-2717
Hot and Spicy Thai,https://www.yelp.com/biz/hot-and-spicy-thai-huntington-beach-2,170,$$,Thai,16561 Bolsa Chica St,Huntington Beach,(714) 840-5404
Catch of the Day,https://www.yelp.com/biz/catch-of-the-day-huntington-beach,77,$$,Seafood,6854 Edinger Ave,Huntington Beach,(714) 841-5472
Yamas Teriyaki,https://www.yelp.com/biz/yamas-teriyaki-huntington-beach,80,$,Japanese- Asian Fusion,19091 Beach Blvd,Huntington Beach,(714) 596-3908
Pelican Isle,https://www.yelp.com/biz/pelican-isle-huntington-beach,182,$$,American (Traditional)- Bars- Seafood,16400 Pacific Coast Hwy,Huntington Beach,(562) 592-3221
Cancun Authentic Mexican Food,https://www.yelp.com/biz/cancun-authentic-mexican-food-huntington-beach,117,$,Mexican,7011 Warner Ave,Huntington Beach,(714) 842-3436
Mr Kebap,https://www.yelp.com/biz/mr-kebap-fountain-valley,295,$$,Mediterranean- Turkish- Middle Eastern,16937 Bushard St,Fountain Valley,(714) 369-2001
Jan’s Health Bar,https://www.yelp.com/biz/jans-health-bar-huntington-beach,380,$,Sandwiches- Juice Bars & Smoothies,501 Main St,Huntington Beach,(714) 536-4856
Kathy May’s Lakeview Cafe,https://www.yelp.com/biz/kathy-mays-lakeview-cafe-huntington-beach,161,$$,Cafes,6622 Lakeview Dr,Huntington Beach,(714) 842-7700
KIKU Japanese Restaurant,https://www.yelp.com/biz/kiku-japanese-restaurant-huntington-beach,198,$$,Sushi Bars- Japanese,15059 Goldenwest St,Huntington Beach,(714) 891-0401
Sakurai Japanese Grill,https://www.yelp.com/biz/sakurai-japanese-grill-huntington-beach,97,$,Japanese- American (Traditional)- Sushi Bars,19881 Brookhurst St,Huntington Beach,(714) 968-7065
Kech Cafe,https://www.yelp.com/biz/kech-cafe-fountain-valley-3,486,$,Coffee & Tea- Sandwiches- Mediterranean,17966 Brookhurst St,Fountain Valley,(714) 968-1122
Company 77 Pizza Fire Truck,https://www.yelp.com/biz/company-77-pizza-fire-truck-irvine,39,$$$$,Pizza- Food Trucks- , na,Fountain Valley,(949) 282-9178
Kip Barry's Cabaret,https://www.yelp.com/biz/kip-barrys-cabaret-anaheim-2,38,$$,Performing Arts- Magicians- Dinner Theater, na,Fountain Valley,(714) 206-1390
Ikram Bakery & Grill,https://www.yelp.com/biz/ikram-bakery-and-grill-fountain-valley-4,318,$,Turkish- Halal- Mediterranean,9895 Warner Ave,Fountain Valley,(714) 964-5726
Istanbul Grill California,https://www.yelp.com/biz/istanbul-grill-california-fountain-valley-2,804,$$,Mediterranean- Turkish- Halal,18010 Newhope St,Fountain Valley,(714) 430-1434
Burning Buns,https://www.yelp.com/biz/burning-buns-los-angeles-3,64,$$,Food Trucks- Burgers- Sandwiches, na,Fountain Valley,(657) 400-2867
Au Lac,https://www.yelp.com/biz/au-lac-fountain-valley-6,974,$$,Vietnamese- Vegan- Live/Raw Food,16563 Brookhurst St,Fountain Valley,(714) 418-0658
Beijing Wok & Grill,https://www.yelp.com/biz/beijing-wok-and-grill-fountain-valley,218,$,Chinese- Korean- ,17431 Brookhurst St,Fountain Valley,(714) 968-5888
The Tropic Truck,https://www.yelp.com/biz/the-tropic-truck-los-angeles-5,32,$$,Food Trucks- Caribbean- , na,Fountain Valley,(323) 477-6764
Tokyo Doggie Style,https://www.yelp.com/biz/tokyo-doggie-style-los-angeles-6,143,$$,Food Trucks- Japanese- Hot Dogs, na,Fountain Valley, na
The Recess Room,https://www.yelp.com/biz/the-recess-room-fountain-valley,394,$$,American (New)- Gastropubs- ,18380 Brookhurst St,Fountain Valley,(714) 377-0398
Okamoto Kitchen,https://www.yelp.com/biz/okamoto-kitchen-los-angeles-2,100,$$,Food Trucks- Japanese- Caterers, na,Fountain Valley,(818) 373-9767
G Burger - Fountain Valley,https://www.yelp.com/biz/g-burger-fountain-valley-fountain-valley-3,422,$$,Burgers- - ,18120 Brookhurst St,Fountain Valley,(714) 965-6707
Sensitive Sweets,https://www.yelp.com/biz/sensitive-sweets-fountain-valley-2,367,$,Bakeries- Vegan- Gluten-Free,17431 Brookhurst St,Fountain Valley,(714) 968-9169
Tsuruhashi,https://www.yelp.com/biz/tsuruhashi-fountain-valley,1047,$$,Japanese- Barbeque- ,18798 Brookhurst St,Fountain Valley,(714) 593-8393
LA Wing Co,https://www.yelp.com/biz/la-wing-co-los-angeles,34,$$,Food Trucks- Chicken Wings- Caterers, na,Fountain Valley,(323) 739-4105
Thai By Sushi On Fire,https://www.yelp.com/biz/thai-by-sushi-on-fire-fountain-valley,346,$$,Thai- Sushi Bars- ,17431 Brookhurst St,Fountain Valley,(714) 593-1511
Inka Cantina,https://www.yelp.com/biz/inka-cantina-fountain-valley-3,385,$$,Peruvian- Salad- Seafood,18279 Brookhurst St,Fountain Valley,(714) 965-4600
Phenomnom Truck,https://www.yelp.com/biz/phenomnom-truck-cypress-4,49,$$,Food Trucks- Southern- , na,Fountain Valley,(949) 438-1187
Sophia's Donuts & Sandwiches,https://www.yelp.com/biz/sophias-donuts-and-sandwiches-westminster,90,$,Donuts- Sandwiches- ,16507 Magnolia St,Fountain Valley,(714) 848-2263
Waffle-icious,https://www.yelp.com/biz/waffle-icious-orange-county-2,89,$,Food Trucks- Waffles- Desserts, na,Fountain Valley, na
Ike's Love & Sandwiches,https://www.yelp.com/biz/ikes-love-and-sandwiches-fountain-valley,158,$$,Sandwiches- Vegan- Vegetarian,18529 Brookhurst St,Fountain Valley,(714) 375-0880
The Vox Kitchen,https://www.yelp.com/biz/the-vox-kitchen-fountain-valley-2,133,$$,Vietnamese- Chinese- Taiwanese,16161 Brookhurst St,Fountain Valley,(714) 418-9729
Shin-Sen-Gumi Hakata Ramen-Fountain Valley,https://www.yelp.com/biz/shin-sen-gumi-hakata-ramen-fountain-valley-fountain-valley-8,2848,$$,Ramen- Noodles- ,18315 Brookhurst St,Fountain Valley,(714) 962-8971
Mr Kebap,https://www.yelp.com/biz/mr-kebap-fountain-valley,278,$$,Mediterranean- Turkish- Middle Eastern,16937 Bushard St,Fountain Valley,(714) 369-2001
Fu Wing Low,https://www.yelp.com/biz/fu-wing-low-fountain-valley,264,$$,Cantonese- Szechuan- Soup,16545 Brookhurst St,Fountain Valley,(714) 839-4481
Crepes Bonaparte,https://www.yelp.com/biz/crepes-bonaparte-fullerton-2,435,$,Creperies- French- Food Trucks, na,Fountain Valley,(714) 595-9995
Moonlight Pizza & Chicken,https://www.yelp.com/biz/moonlight-pizza-and-chicken-fountain-valley,187,$,Pizza- Mediterranean- ,9895 Warner Ave,Fountain Valley,(714) 963-4488
Sushi Koto,https://www.yelp.com/biz/sushi-koto-fountain-valley,421,$$,Sushi Bars- Japanese- ,18120 Brookhurst St,Fountain Valley,(714) 964-0988
Pueblo,https://www.yelp.com/biz/pueblo-costa-mesa-2,822,$$,Tapas/Small Plates- Spanish- Bars,3321 Hyland Ave,Fountain Valley,(714) 340-5775
Cafe Rose Express,https://www.yelp.com/biz/cafe-rose-express-costa-mesa,172,$,American (Traditional)- - ,1570 Scenic Ave,Fountain Valley,(949) 478-8777
Fukusuke Japanese Ramen Dining,https://www.yelp.com/biz/fukusuke-japanese-ramen-dining-fountain-valley,147,$$,Ramen- Sushi Bars- Noodles,18687 Brookhurst St,Fountain Valley,(714) 274-9763
Silky Sullivan's,https://www.yelp.com/biz/silky-sullivans-fountain-valley,245,$$,Pubs- Irish- ,10201 Slater Ave,Fountain Valley,(714) 963-2718
The Greasy Wiener,https://www.yelp.com/biz/the-greasy-wiener-los-angeles,168,$,Hot Dogs- Food Trucks- , na,Fountain Valley,(619) 917-2169
Kappo Honda,https://www.yelp.com/biz/kappo-honda-fountain-valley,1106,$$,Japanese- Asian Fusion- ,18450 Brookhurst St,Fountain Valley,(714) 964-4629
Pholicious,https://www.yelp.com/biz/pholicious-fountain-valley-4,384,$,Vietnamese- Chinese- Coffee & Tea,10585 Slater Ave,Fountain Valley,(714) 378-9923
Taco Maria,https://www.yelp.com/biz/taco-maria-costa-mesa,554,$$,Mexican- - ,3313 Hyland Ave,Fountain Valley,(714) 538-8444
Nick's Pizza D'oro,https://www.yelp.com/biz/nicks-pizza-d-oro-fountain-valley,241,$,Pizza- Italian- ,10585 Slater Ave,Fountain Valley,(714) 963-0227
Jack's Bakery,https://www.yelp.com/biz/jacks-bakery-garden-grove,239,$,Bakeries- Middle Eastern- ,10515 Mcfadden Ave,Fountain Valley,(714) 775-6773
White Rabbit Truck,https://www.yelp.com/biz/white-rabbit-truck-los-angeles-4,526,$,Asian Fusion- Filipino- Food Trucks, na,Fountain Valley,(888) 907-2248
Broken Rice Truck,https://www.yelp.com/biz/broken-rice-truck-santa-ana,21,$,Food Trucks- Asian Fusion- , na,Fountain Valley,(949) 407-9343
California Shabu-Shabu,https://www.yelp.com/biz/california-shabu-shabu-fountain-valley,595,$$,Japanese- Wine Bars- Beer Bar,18908 Brookhurst St,Fountain Valley,(714) 963-8844
Shin-Sen-Gumi Robata & Yakitori-Fountain Valley,https://www.yelp.com/biz/shin-sen-gumi-robata-and-yakitori-fountain-valley-fountain-valley-5,162,$$,Japanese- Noodles- ,18315 Brookhurst St,Fountain Valley,(714) 962-8952
B Nutritious,https://www.yelp.com/biz/b-nutritious-fountain-valley-2,42,$,Salad- Asian Fusion- Health Markets,18053 Magnolia St,Fountain Valley,(714) 377-0718
Kobe Sushi,https://www.yelp.com/biz/kobe-sushi-fountain-valley,191,$$,Sushi Bars- Japanese- ,10585 Slater Ave,Fountain Valley,(714) 968-9938
O Udon,https://www.yelp.com/biz/o-udon-fountain-valley-2,426,$,Japanese- Sushi Bars- Noodles,17870 Newhope St,Fountain Valley,(714) 427-0482
Dos Chinos Food Truck,https://www.yelp.com/biz/dos-chinos-food-truck-santa-ana-2,465,$,Asian Fusion- Vietnamese- Food Trucks,na,Fountain Valley,(714) 383-0414
Fuji's Famous Burgers & More,https://www.yelp.com/biz/fujis-famous-burgers-and-more-fountain-valley-2,218,$,Burgers- Asian Fusion- ,17870 Newhope St,Fountain Valley,(714) 437-1570
Shuck Oyster Bar,https://www.yelp.com/biz/shuck-oyster-bar-costa-mesa,706,$$,Seafood- Salad- Soup,3313 Hyland Ave,Fountain Valley,(949) 420-0478
First Class Pizza,https://www.yelp.com/biz/first-class-pizza-fountain-valley,206,$$,Pizza- - ,18671 Brookhurst St,Fountain Valley,(714) 964-4800
Philly's Best,https://www.yelp.com/biz/phillys-best-fountain-valley,206,$,Sandwiches- Cheesesteaks- Burgers,18691 Brookhurst St,Fountain Valley,(714) 968-2448
Lamppost Pizza,https://www.yelp.com/biz/lamppost-pizza-fountain-valley,80,$$,Pizza- Sports Bars- Italian,10130 Warner Ave,Fountain Valley,(714) 968-6128
Baby's Badass Burgers,https://www.yelp.com/biz/babys-badass-burgers-los-angeles,466,$$,Burgers- Food Trucks- , na,Fountain Valley,(877) 962-2297
Belly Bombz,https://www.yelp.com/biz/belly-bombz-long-beach-6,154,$$,Chicken Wings- Food Trucks- , na,Fountain Valley,(323) 834-8229
Mile Square Golf Course Coffee Shop,https://www.yelp.com/biz/mile-square-golf-course-coffee-shop-fountain-valley,41,$$,American (Traditional)- Coffee & Tea- Breakfast & Brunch,10401 Warner Ave,Fountain Valley,(714) 962-5541
Taco Grill,https://www.yelp.com/biz/taco-grill-westminster,462,$,Mexican- - ,8481 Heil Ave,Fountain Valley,(714) 841-2444
Hong Lan Food To Go,https://www.yelp.com/biz/hong-lan-food-to-go-westminster,31,$,Vietnamese- - ,15566 Brookhurst St,Fountain Valley,(714) 531-7939
Simply Home Cafe,https://www.yelp.com/biz/simply-home-cafe-fountain-valley-3,57,$,Chinese- Bubble Tea- Specialty Food,16173 Brookhurst St,Fountain Valley,(714) 839-8588
Cancun Fresh Mexican Grill,https://www.yelp.com/biz/cancun-fresh-mexican-grill-fountain-valley,242,$,Mexican- - ,18010 Newhope St,Fountain Valley,(714) 427-0008
Paul's Coffee Shop,https://www.yelp.com/biz/pauls-coffee-shop-fountain-valley,500,$,Breakfast & Brunch- Coffee & Tea- American (Traditional),16947 Bushard St,Fountain Valley,(714) 965-3643
Cafe N Te,https://www.yelp.com/biz/cafe-n-te-fountain-valley,109,$$,Coffee & Tea- Bakeries- Cafes,9430 Warner Ave,Fountain Valley,(714) 965-4989
The Ranch Private Dining & Events Center,https://www.yelp.com/biz/the-ranch-private-dining-and-events-center-anaheim-2,10,,Venues & Event Spaces- Wedding Planning- American (New), na,Fountain Valley,(714) 687-6320
Lucky Chinese Food,https://www.yelp.com/biz/lucky-chinese-food-fountain-valley,315,$,Chinese- - ,18525 Brookhurst St,Fountain Valley,(714) 962-4221
Two Brothers Pizza,https://www.yelp.com/biz/two-brothers-pizza-fountain-valley,129,$,Pizza- - ,18944 Brookhurst St,Fountain Valley,(714) 968-4481
Vegan Nirvana,https://www.yelp.com/biz/vegan-nirvana-huntington-beach,644,$$,Vegan- Sandwiches- Wraps,7862 Warner Ave,Fountain Valley,(714) 847-4080
STONEFIRE Grill,https://www.yelp.com/biz/stonefire-grill-fountain-valley,623,$$,American (Traditional)- Barbeque- Salad,18727 Brookhurst St,Fountain Valley,(714) 968-8300
Union Jack Fish & Chips,https://www.yelp.com/biz/union-jack-fish-and-chips-fountain-valley,131,$,Fish & Chips- International Grocery- ,17916 Magnolia St,Fountain Valley,(714) 962-9500
Sushi Plus,https://www.yelp.com/biz/sushi-plus-fountain-valley,286,$$,Japanese- Sushi Bars- ,18856 Brookhurst St,Fountain Valley,(714) 963-1436
Bistro Papillote,https://www.yelp.com/biz/bistro-papillote-costa-mesa,102,$$,French- - ,3313 Hyland Ave,Fountain Valley,(714) 697-1707
Dano's Pizzeria,https://www.yelp.com/biz/danos-pizzeria-westminster,208,$,Pizza- Italian- Sandwiches,16505 Magnolia St,Fountain Valley,(714) 842-4999
Parolli Rolli,https://www.yelp.com/biz/parolli-rolli-costa-mesa,22,$$,Comfort Food- American (Traditional)- Food Stands,1712 Santa Ana Ave,Fountain Valley,(949) 612-5124
ARC Restaurant Food & Libations,https://www.yelp.com/biz/arc-restaurant-food-and-libations-costa-mesa,835,$$,American (New)- Bars- ,3321 Hyland Ave,Fountain Valley,(949) 500-5561
Paracel Seafood,https://www.yelp.com/biz/paracel-seafood-westminster,138,$$,Chinese- Caterers- Venues & Event Spaces,15583 Brookhurst St,Fountain Valley,(714) 775-3077
Johnny's Saloon,https://www.yelp.com/biz/johnnys-saloon-huntington-beach,445,$,Dive Bars- Pizza- Music Venues,17428 Beach Blvd,Fountain Valley,(714) 848-0676
Dos Mexicanos Grill,https://www.yelp.com/biz/dos-mexicanos-grill-santa-ana-3,11,$,Food Trucks- Mexican- , na,Fountain Valley,(714) 604-3752
Starfish Restaurant,https://www.yelp.com/biz/starfish-restaurant-fountain-valley,139,$$,Vietnamese- Seafood- ,16525 Brookhurst St,Fountain Valley,(714) 531-1479
Rocco's Pizza,https://www.yelp.com/biz/roccos-pizza-fountain-valley,128,$,Pizza- Italian- Mediterranean,17098 Magnolia St,Fountain Valley,(714) 843-3233
Quan Long Hoa,https://www.yelp.com/biz/quan-long-hoa-westminster,178,$,Vegetarian- Vegan- Vietnamese,9550 Bolsa Ave,Fountain Valley,(714) 514-8726
Mel's Diner,https://www.yelp.com/biz/mels-diner-fountain-valley,104,$,Diners- Coffee & Tea- Breakfast & Brunch,9430 Warner Ave,Fountain Valley,(714) 963-2662
Restaurant Marin,https://www.yelp.com/biz/restaurant-marin-costa-mesa,143,$$,American (New)- Breakfast & Brunch- Diners,3321 Hyland Ave,Fountain Valley,(949) 402-3974
Paderia Bakehouse,https://www.yelp.com/biz/paderia-bakehouse-fountain-valley,55,$,Desserts- Bakeries- American (Traditional),18279 Brookhurst St,Fountain Valley,(949) 478-5273
St. George Pizza,https://www.yelp.com/biz/st-george-pizza-huntington-beach,412,$,Pizza- Italian- Salad,8454 Edinger Ave,Fountain Valley,(714) 848-6272
Casa Inka,https://www.yelp.com/biz/casa-inka-fountain-valley,753,$$,Peruvian- - ,8610 Warner Ave,Fountain Valley,(714) 847-7555
The Cheese Shop at The Mix,https://www.yelp.com/biz/the-cheese-shop-at-the-mix-costa-mesa,145,$$,Cheese Shops- Sandwiches- ,3313 Hyland Ave,Fountain Valley,(949) 284-0558
O'Connell's Sports Pub & Grille,https://www.yelp.com/biz/o-connells-sports-pub-and-grille-huntington-beach,134,$,Sports Bars- Irish- ,19047 Bushard St,Fountain Valley,(714) 964-6741
Hue Oi,https://www.yelp.com/biz/hue-oi-fountain-valley,233,$,Vietnamese- - ,16537 Brookhurst St,Fountain Valley,(714) 531-1305
Mazara Trattoria,https://www.yelp.com/biz/mazara-trattoria-huntington-beach,328,$$,Italian- - ,18027 Beach Blvd,Fountain Valley,(714) 465-4874
Ramen & Chanko Dining TORIZO,https://www.yelp.com/biz/ramen-and-chanko-dining-torizo-fountain-valley-11,56,$$,Hot Pot- Ramen- ,17900 Magnolia St,Fountain Valley,(714) 377-0300
Project Poke,https://www.yelp.com/biz/project-poke-fountain-valley,311,$,Poke- Japanese- ,16051 Brookhurst St,Fountain Valley,(714) 486-3809
Aztecas Mexican Food,https://www.yelp.com/biz/aztecas-mexican-food-fountain-valley,106,$,Mexican- - ,18033 Magnolia St,Fountain Valley,(714) 593-5350
Joey's Pizza,https://www.yelp.com/biz/joeys-pizza-fountain-valley,210,$,Pizza- Sandwiches- ,9037 Garfield Ave,Fountain Valley,(714) 964-1610
Original Tommy's Hamburgers,https://www.yelp.com/biz/original-tommys-hamburgers-fountain-valley,229,$,Burgers- Fast Food- ,9024 Recreation Cir,Fountain Valley,(714) 842-6141
Papa Z's,https://www.yelp.com/biz/papa-zs-fountain-valley,275,$,Breakfast & Brunch- American (Traditional)- Burgers,9121 Garfield Ave,Fountain Valley,(714) 962-8887
Champion Food,https://www.yelp.com/biz/champion-food-fountain-valley,189,$,Coffee & Tea- Taiwanese- Breakfast & Brunch,17090 Magnolia St,Fountain Valley,(714) 841-0398
China Bowl Express,https://www.yelp.com/biz/china-bowl-express-fountain-valley,78,$,Chinese- - ,11041 Warner Ave,Fountain Valley,(714) 775-5281
In-N-Out Burger,https://www.yelp.com/biz/in-n-out-burger-huntington-beach,354,$,Burgers- Fast Food- ,18062 Beach Blvd,Fountain Valley,(800) 786-1000
Suzy's Cafe,https://www.yelp.com/biz/suzys-cafe-santa-ana,121,$,Breakfast & Brunch- Salad- ,2610 S Harbor Blvd,Fountain Valley,(714) 884-3938
Molcajete Grill,https://www.yelp.com/biz/molcajete-grill-huntington-beach,118,$,Mexican- - ,19023 Bushard St,Fountain Valley,(714) 593-2829
The Black Trumpet Bistro,https://www.yelp.com/biz/the-black-trumpet-bistro-huntington-beach,555,$$,Mediterranean- Tapas/Small Plates- ,18344 Beach Blvd,Fountain Valley,(714) 842-1122
California Fish Grill,https://www.yelp.com/biz/california-fish-grill-fountain-valley,163,$$,Seafood- - ,18020-A Brookhurst St,Fountain Valley,(714) 881-0110
The Scotchery Restaurant,https://www.yelp.com/biz/the-scotchery-restaurant-santa-ana,147,$$$,Steakhouses- - ,3751 S Harbor Blvd,Fountain Valley,(714) 557-2987
Saigon District Restaurant,https://www.yelp.com/biz/saigon-district-restaurant-huntington-beach-2,153,$$,Seafood- Vietnamese- Asian Fusion,19171 Magnolia St,Fountain Valley,(657) 845-9189
Fortune Cookies,https://www.yelp.com/biz/fortune-cookies-fountain-valley,502,$$,Sushi Bars- Chinese- ,18774 Brookhurst St,Fountain Valley,(714) 962-5000
Bánh Mì Chè Cali,https://www.yelp.com/biz/b%C3%A1nh-m%C3%AC-ch%C3%A8-cali-westminster-3,868,$,Vietnamese- Sandwiches- ,15551 Brookhurst St,Fountain Valley,(714) 839-8185
Surfas Culinary District,https://www.yelp.com/biz/surfas-culinary-district-costa-mesa,262,$$,Cafes- - ,3309 Hyland Ave,Fountain Valley,(714) 453-2665
Mai Thai Bistro,https://www.yelp.com/biz/mai-thai-bistro-fountain-valley-2,199,$,Thai- Desserts- Soup,17938 Magnolia St,Fountain Valley,(714) 963-4929
Banh Mi & Che Cali,https://www.yelp.com/biz/banh-mi-and-che-cali-fountain-valley,415,$,Vietnamese- Sandwiches- ,18122 Brookhurst St,Fountain Valley,(714) 593-6300
Glee Donuts & Burgers,https://www.yelp.com/biz/glee-donuts-and-burgers-fountain-valley-3,174,$,Donuts- Burgers- Breakfast & Brunch,9475 Heil Ave,Fountain Valley,(714) 531-0288
Naugles,https://www.yelp.com/biz/naugles-fountain-valley-2,151,$,Mexican- Burgers- Fast Food,18471 Mount Langley,Fountain Valley,(657) 845-7346
Costco Food Court,https://www.yelp.com/biz/costco-food-court-fountain-valley,56,$,Hot Dogs- Pizza- Ice Cream & Frozen Yogurt,17900 Newhope St,Fountain Valley,(714) 434-1070
Taste of India,https://www.yelp.com/biz/taste-of-india-fountain-valley,345,$,Indian- Pakistani- ,8890 Warner Ave,Fountain Valley,(714) 841-6868
Mandarin Restaurant,https://www.yelp.com/biz/mandarin-restaurant-fountain-valley,168,$$,Chinese- - ,18420 Brookhurst St,Fountain Valley,(714) 962-5789
Tan Hoang Huong Bakery,https://www.yelp.com/biz/tan-hoang-huong-bakery-fountain-valley,230,$,Bakeries- Vietnamese- Sandwiches,15972 Euclid St,Fountain Valley,(714) 775-7422
Tropical Smoothie Cafe,https://www.yelp.com/biz/tropical-smoothie-cafe-fountain-valley,30,$,Juice Bars & Smoothies- Cafes- ,9480 Talbert Ave,Fountain Valley,(714) 375-0018
Full Moon Sushi,https://www.yelp.com/biz/full-moon-sushi-fountain-valley,473,$$,Japanese- Sushi Bars- ,9965 Ellis Ave,Fountain Valley,(714) 963-3214
Black Angus Steakhouse,https://www.yelp.com/biz/black-angus-steakhouse-fountain-valley,277,$$,Steakhouses- Sports Bars- American (Traditional),17920 Brookhurst St,Fountain Valley,(714) 968-4477
Little Saigon Noodle,https://www.yelp.com/biz/little-saigon-noodle-fountain-valley,153,$,Noodles- - ,17860 Newhope St,Fountain Valley,(714) 556-7364
